Lane,Category,Research_Family,Sibling_Lanes,Hypothesis_ID,Primary_Endpoint,Source_Path,Source_Version,Source_Fingerprint,Forward_Start_Date,Freeze_At_UTC,Source_Code_SHA,Freeze_Metadata_Status,Governance_Effective_Date,Report_Only,Production_Authority,No_Auto_Promotion,Governance_Version
Calibration Shadow,CALIBRATION,CALIBRATION,Calibration Common-Mode v2,hyp-516434767e765fff,milestone Brier improvement with calibration-gap and win-share guardrails,data/calibration_shadow_gate.csv,calibration-shadow-gate-v1,b08e5475ec140265e5eeef2089ff839e5d4be450c26fadc3cdfaf2c8736ecde3,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Starter Role Live Shadow,WORKLOAD,STARTER_ROLE,,hyp-d9041f14e9b32010,role-by-metric MAE improvement with win-share and bias guardrails,data/live_role_shadow_gate.csv,live-role-shadow-gate-v1,5fd6b910b52ec9bdb6121599a75eefb4075bfef47d8906ecece0e55a5aeeccde,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Top Plays Accountability,EXECUTION,TOP_PLAYS,,hyp-dbd109d8553fbede,"settled authentic-line hit rate, calibration, Brier, and Wilson support",data/top_plays_accountability_summary.csv,top-plays-accountability-v1,8f25ccf711b1e56d9e4b1d1295664716097c65d2b4e743df9ecd167b08a526b2,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Projection Crusher Shadow,K_RESEARCH,EXACT_K_RESIDUAL,Projection Underperformer Shadow,hyp-59327b169e321cb5,exact frozen-projection positive strikeout residual,data/projection_crusher_shadow_gate.csv,projection-crusher-shadow-v1-report-only,6a5a129895bf185e1b265d0ae77ea4b393270e8ce39e2b6ef55b4c865526ecc5,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Projection Underperformer Shadow,K_RESEARCH,EXACT_K_RESIDUAL,Projection Crusher Shadow,hyp-b37c0e5bbc72515c,exact frozen-projection negative strikeout residual,data/projection_underperformer_shadow_gate.csv,projection-underperformer-shadow-v1-report-only,5bd36136711247e5485bfe33277140ad4d94de04241b80287707fea4b5d0f8f6,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
K Ladder Reliability Shadow,K_RESEARCH,K_LADDER,,hyp-5e88572f96fdd0f6,model milestone hit-rate calibration and Brier reliability,data/k_ladder_reliability_shadow_gate.csv,k-ladder-reliability-shadow-v1-report-only,455b7aba80b27f947cbafa7b2d114f43049be443a1a9eb504a4bbc74f9bd646b,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Input Quality v2 · Strikeouts,INPUT_QUALITY,INPUT_QUALITY,Input Quality v2 · Hits;Input Quality v2 · Outs,hyp-fc06ce464be1e351,matched deep-versus-shallow strikeout MAE,data/input_quality_matched_v2_summary.csv,input-quality-matched-v2-report-only,77ded21646b6014cf8972a2cdf13a905f7b288e91c92055d9e44fd91e7ec3788,2026-08-20,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Input Quality v2 · Hits,INPUT_QUALITY,INPUT_QUALITY,Input Quality v2 · Outs;Input Quality v2 · Strikeouts,hyp-adaf6e8baf9ebd48,matched deep-versus-shallow hits MAE,data/input_quality_matched_v2_summary.csv,input-quality-matched-v2-report-only,ebfa0fc6891c8bd7a60ebefa3b55cb6ba5a63b6c28ee7672c4715a32a6bfaab0,2026-08-20,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Input Quality v2 · Outs,INPUT_QUALITY,INPUT_QUALITY,Input Quality v2 · Hits;Input Quality v2 · Strikeouts,hyp-d9f2b8e155160a8e,matched deep-versus-shallow outs MAE,data/input_quality_matched_v2_summary.csv,input-quality-matched-v2-report-only,0207fd370bf728f9cd202a1517c057b0d887706f7151776a92818593bd48d6d4,2026-08-20,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Calibration Common-Mode v2,CALIBRATION,CALIBRATION,Calibration Shadow,hyp-602a3251431003d4,future-only post-blend strikeout MAE + win share + bias,data/calibration_common_mode_v2_summary.csv,calibration-common-mode-v2-report-only,1cf9c2a1713a4081dd000eaa49a42ab8097d9bfbb58ce9f8d83be02ee13e4a6e,2026-08-21,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
ML Challenger,ML,ML,,hyp-11d45b0d4e286332,walk-forward strikeout MAE + win share + bias versus incumbent,data/ml_shadow_summary.csv,ml-k-shadow-v1-report-only,68cf9b1b1b4e726806d39a3b3d541fbd44e227e3067d1f03473a8f5194c82663,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Workload v2.5 Candidates,WORKLOAD,WORKLOAD,,hyp-23339d2857b0f9b2,cross-season workload MAE + win share + bias promotion gates,data/workload_promotion_decisions.csv,workload-promotion-report-v1,66dad6686bc236fcd2042d5693f31e286573232f69e0ae9f5da675f37704f5e7,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
